,title,price,link
22,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Laptop,"₹28,399",/hp-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-15s-ey1508au-thin-light-laptop/p/itmec2f587ddbf77?pid=COMGFPH2ZWTDZHK6&lid=LSTCOMGFPH2ZWTDZHK6AEG0YB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMGFPH2ZWTDZHK6.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
23,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,"₹31,890",/acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itm04c565616da14?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMGGYEBDUJ4PYS9.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
24,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin and L...,"₹30,890",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-bq322ws-thin-light-laptop/p/itm60eb4c38db6f6?pid=COMGB6DZBWCDEXXA&lid=LSTCOMGB6DZBWCDEXXAMHCEBC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=511911f2-a55d-48ff-9a17-cd6c3bd9d28b.COMGB6DZBWCDEXXA.SEARCH&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
25,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹48,890",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=511911f2-a55d-48ff-9a17-cd6c3bd9d28b.COMGFM5BFZHDDB4R.SEARCH&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
26,acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,"₹21,890",/acer-aspire-3-dual-core-3020e-4-gb-256-gb-ssd-windows-11-home-a314-22-laptop/p/itm07e718a865608?pid=COMGBNUMF8CDJZFH&lid=LSTCOMGBNUMF8CDJZFHVNFSHE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=en_lug3UK5Kp4a6PPli1L9myBmoL8386RKNzN%2FcCrsNIg5S69lSOvw0HnA%2BaJo4WfrzFXuZ9FCqywavLb%2B8qN9sag%3D%3D&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
27,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-DM101T Laptop,"₹21,890",/asus-pentium-quad-core-4-gb-1-tb-hdd-windows-10-home-x543ma-dm101t-laptop/p/itm5d3b4646a6abb?pid=COMFUXREZ5ADCVK6&lid=LSTCOMFUXREZ5ADCVK67XCLSO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_lug3UK5Kp4a6PPli1L9myBmoL8386RKNzN%2FcCrsNIg4ifrV04AmEoc7XMbBYeF2FK4uoBJBHkAZxHe2KE41kpQ%3D%3D&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
28,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹64,890",/lenovo-ideapad-gaming-3-ryzen-7-octa-core-amd-r7-5800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-gaming3-15ach6d2-laptop/p/itmd92c6762aa792?pid=COMGGMRSDDRGKFGU&lid=LSTCOMGGMRSDDRGKFGUT5XTRV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=511911f2-a55d-48ff-9a17-cd6c3bd9d28b.COMGGMRSDDRGKFGU.SEARCH&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
29,ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS T...,"₹36,890",/asus-vivobook-15-2022-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej332ws-thin-light-laptop/p/itm8f93c38e258e0?pid=COMGB6DZQZWUV4P5&lid=LSTCOMGB6DZQZWUV4P5DS2A3H&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=511911f2-a55d-48ff-9a17-cd6c3bd9d28b.COMGB6DZQZWUV4P5.SEARCH&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
30,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop,"₹21,890",/asus-pentium-quad-core-4-gb-1-tb-hdd-windows-10-home-x543ma-gq1020t-laptop/p/itmc21cd172b84ea?pid=COMFSKF9DHVPZCYZ&lid=LSTCOMFSKF9DHVPZCYZNBE0MA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=en_lug3UK5Kp4a6PPli1L9myBmoL8386RKNzN%2FcCrsNIg7Zd9ciQ9flg8yfAibI%2Fm3vx2wDpycj5vdRZ8GouKDeXw%3D%3D&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
31,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Laptop,"₹28,399",/hp-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-15s-ey1508au-thin-light-laptop/p/itmec2f587ddbf77?pid=COMGFPH2ZWTDZHK6&lid=LSTCOMGFPH2ZWTDZHK6AEG0YB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_lug3UK5Kp4a6PPli1L9myBmoL8386RKNzN%2FcCrsNIg7QPrPr8tEXNYYCqhAsAhHYoRlfUrtQxkysNV15o1HEaw%3D%3D&ppt=None&ppn=None&ssid=rh9d1qwmz40000001665210918609&qH=c06ea84a1e3dc3c6
